#num_maille;lambx;lamby;lambx93;lamby93;lat_dg;lon_dg
2;5880;26730;641374;7106309;51.049700;2.166540
3;5960;26730;649370;7106242;51.049800;2.280310
4;6040;26730;657366;7106175;51.049800;2.394090
5;6120;26730;665362;7106108;51.049700;2.507860
6;6200;26730;673358;7106041;51.049500;2.621630
12;5640;26650;617318;7098513;50.977100;1.825970
13;5720;26650;625315;7098447;50.977500;1.939570
14;5800;26650;633311;7098380;50.977800;2.053180
15;5880;26650;641307;7098313;50.978000;2.166790
16;5960;26650;649303;7098246;50.978100;2.280400
17;6040;26650;657299;7098179;50.978100;2.394000
18;6120;26650;665295;7098112;50.978000;2.507610
19;6200;26650;673291;7098044;50.977800;2.621220
25;5560;26570;609256;7090584;50.904800;1.713270
26;5640;26570;617252;7090517;50.905300;1.826710
27;5720;26570;625248;7090451;50.905800;1.940150
28;5800;26570;633244;7090384;50.906100;2.053590
29;5880;26570;641240;7090317;50.906300;2.167030
30;5960;26570;649236;7090250;50.906400;2.280480
31;6040;26570;657232;7090183;50.906400;2.393920
32;6120;26570;665228;7090116;50.906300;2.507370
33;6200;26570;673224;7090048;50.906100;2.620810
37;5480;26490;601193;7082655;50.832500;1.600900
38;5560;26490;609189;7082588;50.833100;1.714170
39;5640;26490;617185;7082521;50.833600;1.827440
40;5720;26490;625181;7082455;50.834000;1.940720
41;5800;26490;633177;7082388;50.834300;2.054000
42;5880;26490;641173;7082321;50.834500;2.167280
43;5960;26490;649169;7082254;50.834600;2.280560
44;6040;26490;657165;7082187;50.834600;2.393840
45;6120;26490;665161;7082120;50.834500;2.507120
46;6200;26490;673157;7082052;50.834300;2.620400
47;6280;26490;681153;7081985;50.834000;2.733680
50;5480;26410;601126;7074659;50.760700;1.601960
51;5560;26410;609122;7074592;50.761400;1.715070
52;5640;26410;617118;7074526;50.761900;1.828180
53;5720;26410;625114;7074459;50.762300;1.941290
54;5800;26410;633110;7074392;50.762600;2.054410
55;5880;26410;641106;7074325;50.762800;2.167520
56;5960;26410;649102;7074258;50.762900;2.280640
57;6040;26410;657098;7074191;50.762900;2.393760
58;6120;26410;665093;7074124;50.762800;2.506880
59;6200;26410;673089;7074056;50.762600;2.619990
60;6280;26410;681085;7073989;50.762300;2.733110
61;6360;26410;689081;7073922;50.761900;2.846220
62;6440;26410;697077;7073855;50.761400;2.959330
63;6520;26410;705074;7073787;50.760700;3.072440
64;6600;26410;713070;7073720;50.760000;3.185550
65;5480;26330;601059;7066663;50.689000;1.603010
66;5560;26330;609055;7066596;50.689600;1.715960
67;5640;26330;617051;7066530;50.690100;1.828910
68;5720;26330;625047;7066463;50.690500;1.941860
69;5800;26330;633043;7066396;50.690800;2.054810
70;5880;26330;641039;7066329;50.691000;2.167770
71;5960;26330;649035;7066262;50.691200;2.280720
72;6040;26330;657030;7066195;50.691200;2.393680
73;6120;26330;665026;7066128;50.691000;2.506630
74;6200;26330;673022;7066060;50.690800;2.619590
75;6280;26330;681018;7065993;50.690500;2.732540
76;6360;26330;689014;7065926;50.690100;2.845490
77;6440;26330;697010;7065859;50.689600;2.958440
78;6520;26330;705006;7065791;50.689000;3.071390
79;6600;26330;713002;7065724;50.688300;3.184330
80;6680;26330;720998;7065656;50.687400;3.297270
81;5480;26250;600993;7058667;50.617200;1.604070
82;5560;26250;608989;7058601;50.617800;1.716850
83;5640;26250;616984;7058534;50.618400;1.829640
84;5720;26250;624980;7058467;50.618800;1.942430
85;5800;26250;632976;7058400;50.619100;2.055220
86;5880;26250;640972;7058333;50.619300;2.168010
87;5960;26250;648967;7058266;50.619400;2.280800
88;6040;26250;656963;7058199;50.619400;2.393600
89;6120;26250;664959;7058132;50.619300;2.506390
90;6200;26250;672955;7058064;50.619100;2.619180
91;6280;26250;680951;7057997;50.618800;2.731970
92;6360;26250;688947;7057930;50.618400;2.844760
93;6440;26250;696943;7057863;50.617800;2.957550
94;6520;26250;704939;7057795;50.617200;3.070330
95;6600;26250;712935;7057728;50.616500;3.183120
96;6680;26250;720931;7057660;50.615700;3.295890
97;5480;26170;600926;7050672;50.545500;1.605120
98;5560;26170;608922;7050605;50.546100;1.717740
99;5640;26170;616917;7050538;50.546600;1.830370
100;5720;26170;624913;7050471;50.547000;1.942990
101;5800;26170;632909;7050404;50.547300;2.055620
102;5880;26170;640905;7050337;50.547500;2.168250
103;5960;26170;648900;7050270;50.547600;2.280880
104;6040;26170;656896;7050203;50.547600;2.393520
105;6120;26170;664892;7050136;50.547500;2.506150
106;6200;26170;672888;7050069;50.547300;2.618780
107;6280;26170;680884;7050001;50.547000;2.731410
108;6360;26170;688880;7049934;50.546600;2.844030
109;6440;26170;696875;7049867;50.546100;2.956660
110;6520;26170;704871;7049799;50.545500;3.069280
111;6600;26170;712867;7049732;50.544700;3.181900
112;6680;26170;720863;7049665;50.543900;3.294520
113;6760;26170;728859;7049597;50.543000;3.407130
114;6840;26170;736855;7049529;50.542000;3.519740
121;5480;26090;600859;7042676;50.473700;1.606160
122;5560;26090;608855;7042609;50.474300;1.718630
123;5640;26090;616850;7042542;50.474800;1.831090
124;5720;26090;624846;7042475;50.475200;1.943560
125;5800;26090;632842;7042408;50.475600;2.056030
126;5880;26090;640838;7042341;50.475800;2.168490
127;5960;26090;648833;7042274;50.475900;2.280960
128;6040;26090;656829;7042207;50.475900;2.393440
129;6120;26090;664825;7042140;50.475800;2.505910
130;6200;26090;672821;7042073;50.475600;2.618370
131;6280;26090;680816;7042006;50.475200;2.730840
132;6360;26090;688812;7041938;50.474800;2.843310
133;6440;26090;696808;7041871;50.474300;2.955770
134;6520;26090;704804;7041804;50.473700;3.068240
135;6600;26090;712800;7041736;50.473000;3.180700
136;6680;26090;720796;7041669;50.472200;3.293150
137;6760;26090;728791;7041601;50.471200;3.405600
138;6840;26090;736787;7041533;50.470200;3.518050
139;6920;26090;744783;7041466;50.469100;3.630490
146;5480;26010;600792;7034680;50.401900;1.607210
147;5560;26010;608788;7034614;50.402500;1.719510
148;5640;26010;616783;7034547;50.403100;1.831810
149;5720;26010;624779;7034480;50.403500;1.944120
150;5800;26010;632775;7034413;50.403800;2.056430
